Gender,Height,Age,Grade,18Under,schsport,schperformance,HMAth,Heng,APClasses,Wkhrs,HWhrs,bksPl,bksSch,SocMedaccts,WkOuthrs,PostHS,MovTh,Phonehrs,AlienVisit,Car,Attsince9,Academy,Cafetwice,Breakfast,Portable,LangFl,WWattzone,Pets,AMPractice,TruancyCt,HouseApt,DineOut,FavMovie,FavMus,Txborn,Referral,FavSubj,LikeBlock
Male,68,17,12,1,Yes,No,98,90,0,20,2,0,2,3,6,Other,2,5,Yes,Yes,Yes,STEM,Yes,No,Yes,Yes,Yes,0,Yes,N0,House,7,The escape room,Countrry,Yes,No,Math,No
Male,68,17,12,1,Yes,No,98,90,0,20,2,0,2,3,6,Other,2,5,Yes,Yes,Yes,STEM,Yes,No,Yes,Yes,Yes,0,Yes,N0,House,7,The escape room,Countrry,Yes,No,Math,No
Male,72,16,11,2,Yes,No,100,94,1,0,2,0,1,3,6,College,3,8,Yes,No,Yes,PA,Yes,No,Yes,Yes,No,0,Yes,N0,House,1,Tacos,Rap/Hip Hop,Yes,No,Math,No
Male,70,14,9,1,No,No,97,65,1,0,2,0,1,2,8,Other,3,14,Yes,No,Yes,STEM,Yes,No,Yes,Yes,Yes,1,No,N0,House,3,Endgame,Rap/Hip Hop,Yes,No,Math,No
Male,69,15,10,2,No,No,98,93,2,20,14,3,3,5,7,College,3,3,Yes,No,Yes,STEM,Yes,Yes,Yes,Yes,Yes,1,No,Yes,House,2,Spider-Man into spider verse,Rap/Hip Hop,No,No,Math,No
Male,72,17,12,1,Yes,No,100,97,10,0,5,1,2,1,5,College,1,2,No,No,Yes,STEM,Yes,Yes,Yes,No,Yes,0,No,N0,Apartment,3,Avengers Endgame,Rap/Hip Hop,No,No,Science,Yes
Male,73,17,12,1,Yes,No,98,98,5,0,0,0,1,5,0,College,3,5,No,No,Yes,STEM,Yes,Yes,Yes,Yes,No,3,No,N0,House,3,The Hunger Games,Indie,Yes,Yes,Math,No
Male,65,17,11,1,No,No,95,95,6,0,3,100,2,5,0,College,3,8,Yes,Yes,Yes,STEM,No,Yes,Yes,No,Yes,1,No,N0,House,2,Star Wars,Rap/Hip Hop,Yes,No,History,Yes
Male,74,17,12,2,No,Yes,97,100,12,0,6,0,2,3,0,College,2,4,Yes,Yes,Yes,STEM,No,No,Yes,Yes,Yes,2,Yes,N0,House,2,Inception,Gospel,No,No,Math,Yes
Female,70,15,10,3,No,No,95,85,3,8,6,0,4,5,0,College,4,4,No,No,Yes,STEM,No,No,Yes,Yes,No,6,No,N0,House,2,Night School,Indie,Yes,Yes,Math,Yes
Female,64,14,9,1,No,No,96,98,1,0,4,6,6,1,0,College,5,3,No,No,Yes,STEM,No,No,Yes,Yes,No,1,No,N0,House,2,Wonder,Pop,Yes,No,Math,Yes
Male,69,16,11,2,Yes,No,100,100,1,0,5,3,2,4,3,College,10,7,No,No,No,STEM,Yes,No,Yes,Yes,Yes,1,Yes,N0,House,2,Lion king,Rap/Hip Hop,Yes,No,Math,Yes
Female,63,15,10,2,No,Yes,80,100,0,6,2,0,8,4,18,College,0,10,No,No,Yes,PA,No,No,Yes,No,Yes,1,Yes,N0,House,4,Romeo and Juliet,Pop,No,No,History,No
Female,60,17,12,3,No,Yes,80,100,1,0,0,2,1,2,1,College,2,12,Yes,No,Yes,PA,No,Yes,Yes,No,Yes,0,Yes,N0,House,3,White Chicks,Trap,Yes,No,English,No
Female,66,16,11,1,No,Yes,100,100,2,0,3,0,4,8,5,College,0,12,No,No,Yes,IB,No,No,Yes,Yes,No,1,Yes,N0,House,5,Forest Gump,Countrry,Yes,No,Math,Yes
Female,64,14,9,2,No,Yes,100,100,0,0,1,3,2,7,3,College,7,3,Yes,No,Yes,IB,Yes,Yes,Yes,Yes,Yes,0,Yes,N0,Apartment,1,Coco,Trap,No,No,Science,No
Male,72,17,12,3,Yes,No,98,95,5,0,6,1,1,4,24,College,5,5,Yes,Yes,Yes,STEM,No,No,Yes,No,Yes,1,Yes,N0,House,3,Black Panther,Rap/Hip Hop,Yes,No,Math,No
Female,65,17,12,4,Yes,Yes,100,100,14,0,10,0,2,0,5,College,0,1,Yes,No,Yes,STEM,No,Yes,Yes,Yes,No,1,Yes,N0,House,2,Kill Bill,Jazz,Yes,No,Science,No
Male,78,16,10,0,Yes,No,100,100,3,16,3,40,4,2,6,College,6,5,Yes,Yes,Yes,STEM,No,Yes,Yes,No,Yes,13,No,N0,House,4,Avengers: Endgame,Jazz,Yes,No,English,No
Male,66,14,9,1,No,Yes,100,100,3,0,5,2,2,3,6,College,4,3,No,No,Yes,STEM,Yes,No,Yes,No,Yes,2,Yes,N0,House,1,Pulp Fiction,Rock/Metal,Yes,No,Science,No
Female,61,16,11,2,Yes,No,98,95,4,6.5,8,0,3,4,2,College,10,6,Yes,Yes,Yes,STEM,Yes,No,Yes,No,Yes,1,Yes,N0,House,4,Barbie of Swan Lake,Pop,No,No,math,Yes
Female,61,14,9,2,No,Yes,95,100,1,6.5,4,1,0,3,2,College,10,5,No,Yes,Yes,BUS,No,Yes,Yes,Yes,Yes,3,No,N0,House,3,Avengers: Endgame,Rap/Hip Hop,Yes,No,Algebra,No
Female,61.5,16,10,1,No,No,98,80,0,25,1,0,3,3,0.5,College,8,9,No,Yes,Yes,BUS,No,Yes,No,Yes,Yes,1,No,N0,Apartment,3,Instructions Not Included,Rap/Hip Hop,Yes,No,English,Yes
Female,63,16,11,4,Yes,No,100,98,2,0,10,0,3,4,3,College,5,4,No,No,Yes,IB,Yes,Yes,Yes,No,No,0,Yes,N0,House,2,Coco,Rap/Hip Hop,Yes,No,Science,No
Female,63,17,12,2,No,No,99,95,2,0,8,1,3,4,2,College,4,6,Yes,Yes,Yes,BUS,No,Yes,Yes,Yes,No,1,No,N0,House,2,The Edge of Seventeen,Pop,Yes,No,Math,Yes
