track_name,artist(s)_name,released_year,released_month,released_day,in_spotify_charts,streams,bpm
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2021,7,9,36,2665343922,170
El Merengue,"Marshmello, Manuel Turizo",2023,3,3,44,223633238,124
Someone You Loved,Lewis Capaldi,2018,11,8,53,2887241814,110
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2022,5,6,43,1440757818,92
Makeba,Jain,2015,6,22,53,165484133,116
MONTAGEM - FR PUNK,"Ayparia, unxbected",2012,6,20,50,58054811,129
Fast Car,Luke Combs,2023,3,24,12,157058870,98
What It Is (Solo Version),Doechii,2023,3,17,25,95131998,172
Coco Chanel,"Bad Bunny, Eladio Carrion",2023,3,17,38,250305248,150
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,2017,11,8,23,685032533,136
Still With You,Jung Kook,2020,6,5,39,38411956,88
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2023,5,12,23,144565150,143
Say Yes To Heaven,Lana Del Rey,2023,3,17,46,127567540,100
Snooze,SZA,2022,12,9,25,399686758,143
Summertime Sadness,Lana Del Rey,2011,1,1,52,983637508,112
Take Two,BTS,2023,6,9,47,118482347,93
Lover,Taylor Swift,2012,1,1,23,882831184,206
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",2022,12,2,58,286400165,88
Chemical,Post Malone,2023,4,14,39,172825906,170
Mockingbird,Eminem,2004,1,1,61,1241559043,84
New Jeans,NewJeans,2023,7,7,35,29562220,134
Primera Cita,Carin Leon,2022,4,20,27,77309611,158
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",2017,11,10,52,1605224506,116
Dandelions,Ruth B.,2017,4,28,21,1116995633,117
Bones,Imagine Dragons,2021,3,11,44,838079900,114
Set Fire to the Rain,Adele,2011,1,1,43,1163620694,108
Money Trees,"Kendrick Lamar, Jay Rock",2012,1,1,32,1093605526,144
Tak Segampang Itu,Anggi Marito,2022,12,2,6,179659294,130
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2023,6,22,18,39058561,116
